index,energy
1.00000000,-0.04237727
2.00000000,-0.04237726
3.00000000,-0.04212686
4.00000000,-0.04212686
5.00000000,-0.04199199
6.00000000,-0.04199198
7.00000000,-0.04195103
8.00000000,-0.04195103
9.00000000,0.01031034
10.00000000,0.01031035
11.00000000,0.01031511
12.00000000,0.01031511
13.00000000,0.01044817
14.00000000,0.01044817
15.00000000,0.01051028
16.00000000,0.01051028
17.00000000,0.01053938
18.00000000,0.01053938
19.00000000,0.01065463
20.00000000,0.01065464
21.00000000,0.01083126
22.00000000,0.01083126
23.00000000,0.01090007
24.00000000,0.01090008
